Month,Date,Category,Base_Price_per_Ton,MoM_Pct,GeoRiskPremium_Pct,Model_Source
2026-05,2026-05-01,Overall,1070.0,0.0,9.0,Sample (5-1-2026 pattern)
2026-05,2026-05-01,Hot Rolled Plates,1070.0,0.0,9.0,Sample (5-1-2026 pattern)
2026-05,2026-05-01,HR I-Beams/Channels,1225.0,0.0,9.0,Sample (5-1-2026 pattern)
2026-05,2026-05-01,Sub Framing,1085.0,0.0,9.0,Sample (5-1-2026 pattern)
2026-05,2026-05-01,Sheet/Trim Painted,1155.0,0.0,9.0,Sample (5-1-2026 pattern)
2026-05,2026-05-01,HSS Round Pipes,1250.0,0.0,9.0,Sample (5-1-2026 pattern)
2026-05,2026-05-01,HSS Square/Rect Tubes,1255.0,0.0,9.0,Sample (5-1-2026 pattern)
2026-05,2026-05-01,TNFAB,1109.0,0.0,9.0,Sample (5-1-2026 pattern)
2026-05,2026-05-01,TNFAB2nd,1135.0,0.0,9.0,Sample (5-1-2026 pattern)
2026-06,2026-06-01,Overall,1075.35,0.5,9.0,Sample (5-1-2026 pattern)
2026-06,2026-06-01,Hot Rolled Plates,1075.35,0.5,9.0,Sample (5-1-2026 pattern)
2026-06,2026-06-01,HR I-Beams/Channels,1229.9,0.4,9.0,Sample (5-1-2026 pattern)
2026-06,2026-06-01,Sub Framing,1090.42,0.5,9.0,Sample (5-1-2026 pattern)
2026-06,2026-06-01,Sheet/Trim Painted,1159.62,0.4,9.0,Sample (5-1-2026 pattern)
2026-06,2026-06-01,HSS Round Pipes,1255.0,0.4,9.0,Sample (5-1-2026 pattern)
2026-06,2026-06-01,HSS Square/Rect Tubes,1260.02,0.4,9.0,Sample (5-1-2026 pattern)
2026-06,2026-06-01,TNFAB,1114.54,0.5,9.0,Sample (5-1-2026 pattern)
2026-06,2026-06-01,TNFAB2nd,1140.67,0.5,9.0,Sample (5-1-2026 pattern)
2026-07,2026-07-01,Overall,1075.35,0.0,9.0,Sample (5-1-2026 pattern)
2026-07,2026-07-01,Hot Rolled Plates,1075.35,0.0,9.0,Sample (5-1-2026 pattern)
2026-07,2026-07-01,HR I-Beams/Channels,1229.9,0.0,9.0,Sample (5-1-2026 pattern)
2026-07,2026-07-01,Sub Framing,1090.42,0.0,9.0,Sample (5-1-2026 pattern)
2026-07,2026-07-01,Sheet/Trim Painted,1159.62,0.0,9.0,Sample (5-1-2026 pattern)
2026-07,2026-07-01,HSS Round Pipes,1255.0,0.0,9.0,Sample (5-1-2026 pattern)
2026-07,2026-07-01,HSS Square/Rect Tubes,1260.02,0.0,9.0,Sample (5-1-2026 pattern)
2026-07,2026-07-01,TNFAB,1114.54,0.0,9.0,Sample (5-1-2026 pattern)
2026-07,2026-07-01,TNFAB2nd,1140.67,0.0,9.0,Sample (5-1-2026 pattern)
2026-08,2026-08-01,Overall,1069.97,-0.5,8.5,Sample (5-1-2026 pattern)
2026-08,2026-08-01,Hot Rolled Plates,1069.97,-0.5,8.5,Sample (5-1-2026 pattern)
